:START_ID	:TYPE	:END_ID	count:int
MESH:D009518	occurs_with	MESH:D014115	1
MESH:D012409	occurs_with	MESH:D014589	2
MESH:D003139	occurs_with	MESH:D009664	1
MESH:D004293	occurs_with	MESH:D009161	1
MESH:D001208	occurs_with	MESH:D006479	13
MESH:D002140	occurs_with	MESH:D009369	17
MESH:D007630	occurs_with	MESH:D008379	7
MESH:D007061	occurs_with	MESH:D013577	15
MESH:D000416	occurs_with	MESH:D014777	1
MESH:D001459	occurs_with	MESH:D009975	8
MESH:D005060	occurs_with	MESH:D014526	2
MESH:D000358	occurs_with	MESH:D019318	1
MESH:D006115	occurs_with	MESH:D012410	3
MESH:D005387	occurs_with	MESH:D011213	1
MESH:D003715	occurs_with	MESH:D009510	30
MESH:D009120	occurs_with	MESH:D014707	2
MESH:D000084063	occurs_with	MESH:D014852	2
MESH:D000358	occurs_with	MESH:D015030	2
MESH:D011792	occurs_with	MESH:D014615	1
MESH:D001208	occurs_with	MESH:D007964	1
MESH:D012008	occurs_with	MESH:D012237	1
MESH:D003920	occurs_with	MESH:D044349	1
MESH:D000349	occurs_with	MESH:D008379	15
MESH:D002140	occurs_with	MESH:D007970	6
MESH:D004458	occurs_with	MESH:D010243	1
MESH:D014687	occurs_with	MESH:D017860	1
MESH:D004219	occurs_with	MESH:D006734	1
MESH:D000740	occurs_with	MESH:D001407	1
MESH:D014353	occurs_with	MESH:D016851	1
MESH:D003221	occurs_with	MESH:D006254	1
MESH:D000458	occurs_with	MESH:D001281	2
MESH:D005585	occurs_with	MESH:D014454	3
MESH:D001435	occurs_with	MESH:D029424	3
MESH:D000038	occurs_with	MESH:D009509	1
MESH:D003967	occurs_with	MESH:D053124	7
MESH:D014901	occurs_with	MESH:D018843	2
MESH:D012846	occurs_with	MESH:D028941	1
MESH:D006678	occurs_with	MESH:D008379	2
MESH:D005334	occurs_with	MESH:D009922	18
MESH:D006678	occurs_with	MESH:D007597	1
MESH:D006212	occurs_with	MESH:D014922	1
MESH:D001819	occurs_with	MESH:D003120	1
MESH:D009422	occurs_with	MESH:D009516	1
MESH:D014861	occurs_with	MESH:D029261	1
MESH:D002169	occurs_with	MESH:D005858	2
MESH:D014922	occurs_with	MESH:D053122	4
MESH:D001819	occurs_with	MESH:D003718	4
MESH:D004683	occurs_with	MESH:D009864	1
MESH:D004663	occurs_with	MESH:D014353	1
MESH:D006678	occurs_with	MESH:D012846	2
MESH:D006205	occurs_with	MESH:D014734	6
MESH:D002160	occurs_with	MESH:D002771	13
MESH:D002102	occurs_with	MESH:D013781	2
MESH:D009922	occurs_with	MESH:D030041	1
