:START_ID	:TYPE	:END_ID
geonames:8583995	isa	geonames:3979840
geonames:6323722	isa	geonames:3457415
geonames:3589464	isa	geonames:3595415
geonames:3603158	isa	geonames:3609583
geonames:8583890	isa	geonames:3514211
geonames:685452	isa	geonames:668248
geonames:3333184	isa	MESH:D004739
geonames:663116	isa	MESH:D012383
geonames:2112424	isa	geonames:2112518
geonames:6320097	isa	geonames:3402362
geonames:2621514	isa	geonames:6418538
geonames:9172322	isa	geonames:3685889
geonames:1258622	isa	geonames:1253626
geonames:11352562	isa	geonames:12276858
geonames:8583548	isa	geonames:3515359
geonames:6323128	isa	geonames:3450387
geonames:12196616	isa	geonames:408669
geonames:1668338	isa	MESH:D013624
geonames:9072890	isa	geonames:432455
geonames:370737	isa	geonames:381229
geonames:1159456	isa	MESH:D007492
geonames:6321227	isa	geonames:3457153
geonames:9609519	isa	geonames:3686431
geonames:3909533	isa	geonames:3908600
geonames:2033168	isa	geonames:2034654
geonames:12625860	isa	geonames:1490542
geonames:7268171	isa	geonames:4562512
geonames:1904860	isa	geonames:1564676
geonames:12625093	isa	geonames:556349
geonames:934017	isa	MESH:D008436
geonames:6127585	isa	MESH:D008350
geonames:8583776	isa	geonames:3514780
geonames:9644274	isa	geonames:721589
geonames:3688812	isa	geonames:3685413
geonames:11107577	isa	geonames:2465027
geonames:6324249	isa	geonames:3662560
geonames:673872	isa	geonames:683901
geonames:674071	isa	geonames:675848
geonames:10347095	isa	geonames:146213
geonames:675422	isa	geonames:663116
geonames:7839797	isa	MESH:D014739
geonames:11996200	isa	geonames:2256175
geonames:3658919	isa	geonames:3659237
geonames:3601923	isa	geonames:3613140
geonames:9171727	isa	geonames:98410
geonames:12031521	isa	geonames:3582882
geonames:5795265	isa	MESH:D014861
geonames:4034943	isa	MESH:D018947
geonames:1641898	isa	MESH:D007214
geonames:1518673	isa	geonames:1524444
geonames:4375954	isa	MESH:D008923
geonames:7626949	isa	geonames:2081175
geonames:11963420	isa	geonames:7648907
geonames:2037355	isa	geonames:2037353
geonames:1607781	isa	geonames:1609348
geonames:3681703	isa	geonames:3685413
geonames:6618754	isa	geonames:2031798
geonames:12625193	isa	geonames:548389
geonames:11351618	isa	geonames:3576891
geonames:8583742	isa	geonames:3514780
geonames:664728	isa	geonames:686192
geonames:7732191	isa	geonames:323776
geonames:4385018	isa	geonames:4392183
geonames:2012482	isa	geonames:2023468
geonames:11495629	isa	geonames:3488700
geonames:362004	isa	geonames:359781
geonames:6323789	isa	geonames:3457415
geonames:8636767	isa	geonames:2565343
geonames:6997394	isa	geonames:2031798
geonames:8631667	isa	geonames:304919
geonames:1845604	isa	geonames:1845599
geonames:8583138	isa	geonames:3521082
geonames:7910190	isa	geonames:1651809
geonames:4189924	isa	MESH:D005845
geonames:6320239	isa	geonames:3390290
geonames:674060	isa	geonames:684647
geonames:4772915	isa	MESH:D014768
geonames:3634755	isa	geonames:3632306
geonames:6320926	isa	geonames:3471168
geonames:11807386	isa	MESH:D000416
geonames:12041747	isa	geonames:9259067
geonames:6321186	isa	geonames:3457153
geonames:10193219	isa	geonames:146267
geonames:6319710	isa	geonames:3395443
geonames:607866	isa	geonames:610688
geonames:6619008	isa	geonames:2030469
geonames:7530793	isa	geonames:3337499
geonames:8582356	isa	geonames:3995955
