curie:ID	name:string	:LABEL
geonames:100049	Abu Al-Khaseeb District	geoloc
geonames:100077	Abū Ghurayb	geoloc
geonames:10020191	Liuzhi	geoloc
geonames:1002145	George	geoloc
geonames:100425	Yanbu	geoloc
geonames:1005646	eMbalenhle	geoloc
geonames:1006984	East London	geoloc
geonames:1007311	Durban	geoloc
geonames:10096138	Ferizaj	geoloc
geonames:10096859	Gjakova	geoloc
geonames:10097357	Gjilan	geoloc
geonames:10097358	Mitrovica	geoloc
geonames:10097359	Pec	geoloc
geonames:10097360	Pristina	geoloc
geonames:10097361	Prizren	geoloc
geonames:10098790	Mitrovica Veriore	geoloc
geonames:10114297	Mai-Mne Subregion	geoloc
geonames:10119971	Keserwan District	geoloc
geonames:10121424	Miniyeh-Danniyeh	geoloc
geonames:10126909	Minie-Denniyeh	geoloc
geonames:1014073	Carletonville	geoloc
geonames:1015621	Brits	geoloc
geonames:1016181	Brakpan	geoloc
geonames:101627	Tabuk Region	geoloc
geonames:101628	Tabuk	geoloc
geonames:1016670	Botshabelo	geoloc
geonames:10172859	Logo Anseba	geoloc
geonames:10172877	Zaka District	geoloc
geonames:10172903	Naruto-shi	geoloc
geonames:101760	Sulţānah	geoloc
geonames:10177504	Teseney Subregion	geoloc
geonames:10177509	Haykota Subregion	geoloc
geonames:10177510	Gogne Subregion	geoloc
geonames:10177511	Mogolo Subregion	geoloc
geonames:10177512	Mensura Subregion	geoloc
geonames:10177513	Shambuko Subregion	geoloc
geonames:10177514	Areza Subregion	geoloc
geonames:1017780	Boksburg	geoloc
geonames:10182655	Ágios Dométios	geoloc
geonames:10182743	Égkomi	geoloc
geonames:10182744	Stróvolos	geoloc
geonames:10182745	Aglantziá	geoloc
geonames:10182746	Ortákioi	geoloc
geonames:1018725	Bloemfontein	geoloc
geonames:10190038	Tráchonas	geoloc
geonames:10190040	Lakatámia	geoloc
geonames:10190049	Synoikismós Anthoúpolis	geoloc
geonames:10190059	Latsiá	geoloc
geonames:10190060	Géri	geoloc
geonames:10190061	Siá	geoloc
geonames:10190555	Mathiátis	geoloc
geonames:10190556	Alámpra	geoloc
geonames:10190575	Agía Varvára	geoloc
geonames:10190576	Kotsiátis	geoloc
geonames:10190577	Nísou	geoloc
geonames:10190578	Péra Chorió	geoloc
geonames:10190579	Dáli	geoloc
geonames:10190580	Lýmpia	geoloc
geonames:10190581	Lythrodóntas	geoloc
geonames:10190582	Louroukína	geoloc
geonames:10190583	Potamiá	geoloc
geonames:10190584	Ágios Sozómenos	geoloc
geonames:10190585	Pyrógi	geoloc
geonames:10190586	Margó	geoloc
geonames:10190587	Agiá	geoloc
geonames:10190588	Týmvou	geoloc
geonames:10190589	Móra	geoloc
geonames:10190590	Mia Miliá	geoloc
geonames:10190591	Mándres	geoloc
geonames:10190592	Palaíkythro	geoloc
geonames:10190593	Éxo Metóchi	geoloc
geonames:10190594	Epichó	geoloc
geonames:10191329	Vóni	geoloc
geonames:10191956	Trachóni	geoloc
geonames:10191957	Néo Chorió	geoloc
geonames:10191958	Kythréa	geoloc
geonames:10191959	Béïkioï	geoloc
geonames:10191962	Pétra tou Digení	geoloc
