:START_ID	years_data:string	:TYPE	:END_ID
MESH:D010679	"{""2019"": 16.8}"	has_indicator	whi:SH.STA.WASH.MA.P5
MESH:D008002	{}	has_indicator	whi:SH.STA.OWAD.FE.ZS
MESH:D018843	"{""2019"": 11267.5, ""2020"": 11122.0, ""2021"": 10819.0, ""2022"": 10455.5, ""2023"": 10047.0}"	has_indicator	whi:SP.POP.AG04.FE.IN
MESH:D010139	"{""2019"": 1.871, ""2020"": 1.952, ""2021"": 1.855, ""2022"": 1.818}"	has_indicator	whi:SH.DYN.1014.FE
MESH:D014416	"{""2019"": 481740.0, ""2020"": 492203.0, ""2021"": 502007.0, ""2022"": 508943.0, ""2023"": 512073.0}"	has_indicator	whi:SP.POP.3539.FE
MESH:D014455	"{""2019"": 78.0, ""2020"": 84.0, ""2021"": 78.0, ""2022"": 69.0}"	has_indicator	whi:SH.IMM.POL3
MESH:D008015	"{""2019"": 187.5, ""2020"": 177.5, ""2021"": 172.0, ""2022"": 158.5, ""2023"": 170.5}"	has_indicator	whi:SP.POP.AG07.FE.IN
MESH:D001315	"{""2019"": 148269.0, ""2020"": 153327.0, ""2021"": 155678.5, ""2022"": 156806.0, ""2023"": 158016.0}"	has_indicator	whi:SP.POP.AG13.FE.IN
MESH:D009276	{}	has_indicator	whi:SP.DYN.CONM.AL.ZS
MESH:D001444	"{""2019"": 16575.0, ""2020"": 16829.0, ""2021"": 16942.0, ""2022"": 16980.0, ""2023"": 16939.0}"	has_indicator	whi:SP.POP.2529.MA
MESH:D054548	"{""2019"": 81.0, ""2020"": 76.0, ""2021"": 79.0, ""2022"": 70.0}"	has_indicator	whi:SH.IMM.MEA2
MESH:D001444	"{""2019"": 0.02, ""2020"": 0.02, ""2021"": 0.02, ""2022"": 0.02}"	has_indicator	whi:SH.HIV.INCD.50.P3
MESH:D008435	"{""2019"": 43738.5, ""2020"": 45545.0, ""2021"": 47537.5, ""2022"": 49684.0, ""2023"": 51898.0}"	has_indicator	whi:SP.POP.AG18.MA.IN
MESH:D001315	"{""2019"": 885802.0, ""2020"": 911891.0, ""2021"": 923478.0, ""2022"": 941268.0, ""2023"": 967424.0}"	has_indicator	whi:SP.POP.3539.MA
MESH:D000068037	"{""2019"": 235237.0, ""2020"": 243185.0, ""2021"": 249721.0, ""2022"": 255518.0, ""2023"": 260333.0}"	has_indicator	whi:SP.POP.4549.FE
MESH:D017522	"{""2019"": 49.1}"	has_indicator	whi:SH.HTN.TRET.ZS
MESH:D019431	"{""2019"": 38.8}"	has_indicator	whi:SH.HTN.PREV.MA.ZS
MESH:D000810	"{""2019"": 42.8}"	has_indicator	whi:SH.STA.WASH.FE.P5
MESH:D008849	"{""2019"": 1175.0, ""2020"": 1168.0, ""2021"": 1166.0, ""2022"": 1162.0, ""2023"": 1161.5}"	has_indicator	whi:SP.POP.AG04.MA.IN
MESH:D006169	"{""2019"": 11.626}"	has_indicator	whi:SH.HIV.1524.KW.FE.ZS
MESH:D008295	"{""2019"": 95.0, ""2020"": 94.0, ""2021"": 93.0, ""2022"": 86.0}"	has_indicator	whi:SH.IMM.HIB3
MESH:D008256	{}	has_indicator	whi:SH.IMM.POL3
MESH:D006113	{}	has_indicator	whi:SH.UHC.TOT2.TO
MESH:D001382	"{""2019"": 70290.0, ""2020"": 68606.5, ""2021"": 66872.0, ""2022"": 66180.0, ""2023"": 67584.5}"	has_indicator	whi:SP.POP.AG20.MA.IN
MESH:D002170	"{""2019"": 1082388.0, ""2020"": 1066693.0, ""2021"": 1046884.0, ""2022"": 1059815.0, ""2023"": 1095347.0}"	has_indicator	whi:SP.POP.1519.MA
MESH:D019017	"{""2019"": 244231.0, ""2020"": 243338.0, ""2021"": 242029.0, ""2022"": 240597.0, ""2023"": 239513.0}"	has_indicator	whi:SP.POP.0509.MA
MESH:D008436	"{""2019"": 1.9, ""2020"": 2.0, ""2021"": 1.9, ""2022"": 1.9}"	has_indicator	whi:SH.DYN.1519.FE
MESH:D005714	"{""2019"": 79713.0, ""2020"": 81836.0, ""2021"": 84144.0, ""2022"": 86557.0, ""2023"": 89068.0}"	has_indicator	whi:SP.POP.3034.FE
MESH:D000073136	"{""2019"": 1470.0, ""2020"": 1527.0, ""2021"": 1565.0, ""2022"": 1610.0, ""2023"": 1662.0}"	has_indicator	whi:SP.POP.6569.MA
MESH:D001444	"{""2019"": 62.9}"	has_indicator	whi:SH.HTN.TRET.FE.ZS
MESH:D014421	"{""2019"": 6881.0, ""2020"": 6347.0, ""2021"": 5928.0, ""2022"": 5627.0}"	has_indicator	whi:SH.DTH.IMRT.MA
MESH:D019029	{}	has_indicator	whi:SH.HIV.TOTL
MESH:D008302	"{""2019"": 169502.0, ""2020"": 176842.5, ""2021"": 185973.0, ""2022"": 195220.0, ""2023"": 203746.5}"	has_indicator	whi:SP.POP.AG22.FE.IN
MESH:D009276	{}	has_indicator	whi:SH.UHC.TOTR.TO
MESH:D009390	"{""2019"": 322123.0, ""2020"": 314466.5, ""2021"": 308192.0, ""2022"": 302655.0, ""2023"": 297401.0}"	has_indicator	whi:SP.POP.AG14.MA.IN
MESH:D019425	"{""2019"": 3202.0, ""2020"": 3129.0, ""2021"": 3074.0, ""2022"": 3045.0, ""2023"": 3030.0}"	has_indicator	whi:SP.POP.5054.FE
MESH:D012846	{}	has_indicator	whi:SH.UHC.TOT2.TO
MESH:D000095143	{}	has_indicator	whi:SH.HIV.1524.KW.MA.ZS
MESH:D007563	{}	has_indicator	whi:SH.MMR.WAGE.ZS
MESH:D017507	"{""2019"": 56796.0, ""2020"": 57229.0, ""2021"": 57573.0, ""2022"": 57824.0, ""2023"": 58002.0}"	has_indicator	whi:SP.POP.0004.MA
MESH:D004957	"{""2019"": 1.4, ""2020"": 1.3, ""2021"": 1.2, ""2022"": 1.2}"	has_indicator	whi:SH.DYN.2024.FE
MESH:D001541	"{""2019"": 19618.0, ""2020"": 20141.0, ""2021"": 20401.0, ""2022"": 20639.0, ""2023"": 21109.0}"	has_indicator	whi:SP.POP.80UP.MA
MESH:D018153	{}	has_indicator	whi:SP.DYN.SMAM.FE
MESH:D009510	{}	has_indicator	whi:SH.PRG.SYPH.ZS
MESH:D005845	{}	has_indicator	whi:SH.UHC.FBPR.TO
MESH:D018947	"{""2019"": 3.0, ""2020"": 3.0, ""2021"": 3.0, ""2022"": 3.0}"	has_indicator	whi:SH.DTH.1014.MA
MESH:D005714	"{""2019"": 51128.0, ""2020"": 74977.0, ""2021"": 72504.0, ""2022"": 117901.0}"	has_indicator	whi:SH.STA.MALR
MESH:D001530	{}	has_indicator	whi:SH.UHC.TOT1.TO
MESH:D017523	"{""2019"": 45.3}"	has_indicator	whi:SH.HTN.PREV.FE.ZS
MESH:D000958	"{""2019"": 1.0, ""2020"": 1.0, ""2021"": 1.0, ""2022"": 1.0}"	has_indicator	whi:SH.DTH.1014.FE
MESH:D014058	"{""2019"": 9.0, ""2020"": 9.0, ""2021"": 9.0, ""2022"": 9.0}"	has_indicator	whi:SH.DTH.1019
MESH:D002052	"{""2019"": 441035.5, ""2020"": 438440.5, ""2021"": 436279.0, ""2022"": 434335.5, ""2023"": 431340.5}"	has_indicator	whi:SP.POP.AG12.FE.IN
MESH:D004957	"{""2019"": 37885.0, ""2020"": 38873.0, ""2021"": 39479.0, ""2022"": 39895.0, ""2023"": 39747.0}"	has_indicator	whi:SP.POP.1014.MA
MESH:D007630	"{""2019"": 45.7, ""2020"": 49.8}"	has_indicator	whi:SP.DYN.CONU.AL.ZS
MESH:D006723	{}	has_indicator	whi:SP.DYN.CONM.AL.ZS
MESH:D008436	"{""2019"": 9295.0, ""2020"": 9427.5, ""2021"": 9726.5, ""2022"": 9574.0, ""2023"": 9595.5}"	has_indicator	whi:SP.POP.AG21.MA.IN
MESH:D000958	"{""2019"": 762.5, ""2020"": 751.5, ""2021"": 719.5, ""2022"": 681.5, ""2023"": 710.0}"	has_indicator	whi:SP.POP.AG23.MA.IN
MESH:D000073096	{}	has_indicator	whi:SL.EMP.INSV.FE.ZS
