:START_ID	:TYPE	:END_ID
MESH:D000006	isa	MESH:D015746
MESH:D000007	isa	MESH:D014947
MESH:D000008	isa	MESH:D009371
MESH:D000011	isa	MESH:D009052
MESH:D000012	isa	MESH:D006995
MESH:D000013	isa	MESH:D009358
MESH:D000014	isa	MESH:D000013
MESH:D000015	isa	MESH:D000013
MESH:D000016	isa	MESH:D000013
MESH:D000016	isa	MESH:D011832
MESH:D000022	isa	MESH:D011248
MESH:D000026	isa	MESH:D000022
MESH:D000027	isa	MESH:D000022
MESH:D000030	isa	MESH:D000022
MESH:D000031	isa	MESH:D000022
MESH:D000031	isa	MESH:D011251
MESH:D000033	isa	MESH:D011248
MESH:D000034	isa	MESH:D000022
MESH:D000034	isa	MESH:D000820
MESH:D000037	isa	MESH:D007744
MESH:D000037	isa	MESH:D010922
MESH:D000038	isa	MESH:D013492
MESH:D000039	isa	MESH:D000038
MESH:D000039	isa	MESH:D014069
MESH:D000051	isa	MESH:D010335
MESH:D000051	isa	MESH:D012872
MESH:D000052	isa	MESH:D008548
MESH:D000067011	isa	MESH:D044342
MESH:D000067148	isa	MESH:D014780
MESH:D000067208	isa	MESH:D005512
MESH:D000067251	isa	MESH:D012008
MESH:D000067329	isa	MESH:D009765
MESH:D000067390	isa	MESH:D014947
MESH:D000067398	isa	MESH:D014947
MESH:D000067490	isa	MESH:D063487
MESH:D000067559	isa	MESH:D007859
MESH:D000067562	isa	MESH:D020969
MESH:D000068016	isa	MESH:D000068536
MESH:D000068037	isa	MESH:D000351
MESH:D000068376	isa	MESH:D000073397
MESH:D000068376	isa	MESH:D005222
MESH:D000068476	isa	MESH:D002681
MESH:D000068476	isa	MESH:D002947
MESH:D000068536	isa	MESH:D001419
MESH:D000069076	isa	MESH:D009104
MESH:D000069076	isa	MESH:D050723
MESH:D000069279	isa	MESH:D004827
MESH:D000069281	isa	MESH:D000072659
MESH:D000069281	isa	MESH:D001327
MESH:D000069282	isa	MESH:D003607
MESH:D000069290	isa	MESH:D006547
MESH:D000069290	isa	MESH:D011183
MESH:D000069293	isa	MESH:D016403
MESH:D000069295	isa	MESH:D002277
MESH:D000069316	isa	MESH:D000152
MESH:D000069337	isa	MESH:D014564
MESH:D000069451	isa	MESH:D010335
MESH:D000069544	isa	MESH:D002494
MESH:D000069544	isa	MESH:D004660
MESH:D000069578	isa	MESH:D007239
MESH:D000069584	isa	MESH:D001943
MESH:D000069836	isa	MESH:D017695
MESH:D000069856	isa	MESH:D007669
MESH:D000069976	isa	MESH:D001407
MESH:D000069977	isa	MESH:D001407
MESH:D000069978	isa	MESH:D001644
MESH:D000069979	isa	MESH:D001407
MESH:D000069980	isa	MESH:D000093622
MESH:D000069981	isa	MESH:D054324
MESH:D000069982	isa	MESH:D001644
MESH:D000069984	isa	MESH:D001644
MESH:D000069985	isa	MESH:D001644
MESH:D000069996	isa	MESH:D007777
MESH:D000069998	isa	MESH:D007778
MESH:D000069999	isa	MESH:D007778
MESH:D000070000	isa	MESH:D001407
MESH:D000070001	isa	MESH:D013291
MESH:D000070002	isa	MESH:D011424
MESH:D000070003	isa	MESH:D007778
MESH:D000070005	isa	MESH:D001644
MESH:D000070006	isa	MESH:D010376
MESH:D000070007	isa	MESH:D007934
MESH:D000070016	isa	MESH:D010376
MESH:D000070018	isa	MESH:D007778
MESH:D000070019	isa	MESH:D001407
MESH:D000070036	isa	MESH:D000068016
MESH:D000070036	isa	MESH:D016965
MESH:D000070037	isa	MESH:D000070036
MESH:D000070057	isa	MESH:D000072738
MESH:D000070057	isa	MESH:D056507
MESH:D000070058	isa	MESH:D013291
MESH:D000070059	isa	MESH:D056507
MESH:D000070060	isa	MESH:D001501
MESH:D000070076	isa	MESH:D016983
MESH:D000070077	isa	MESH:D001439
MESH:D000070079	isa	MESH:D000333
MESH:D000070096	isa	MESH:D011549
MESH:D000070097	isa	MESH:D045856
MESH:D000070098	isa	MESH:D001407
MESH:D000070099	isa	MESH:D013291
MESH:D000070101	isa	MESH:D045851
MESH:D000070197	isa	MESH:D000070099
MESH:D000070236	isa	MESH:D000069978
MESH:D000070256	isa	MESH:D007777
MESH:D000070257	isa	MESH:D001644
MESH:D000070436	isa	MESH:D000084422
MESH:D000070558	isa	MESH:D005531
MESH:D000070558	isa	MESH:D005532
MESH:D000070589	isa	MESH:D000070558
MESH:D000070591	isa	MESH:D005530
MESH:D000070592	isa	MESH:D005530
MESH:D000070598	isa	MESH:D007718
MESH:D000070599	isa	MESH:D014947
MESH:D000070600	isa	MESH:D007869
MESH:D000070603	isa	MESH:D001847
