curie:ID	name:string	:LABEL
outbreak:356	CJD-BSE	outbreak
outbreak:1351	Avian influenza	outbreak
outbreak:802	Avian influenza	outbreak
outbreak:512	Swine fever, classical	outbreak
outbreak:244	Ebola virus disease	outbreak
outbreak:1444	Amebic meningoencephalitis, primary	outbreak
outbreak:996	COVID-19	outbreak
outbreak:991	Avian influenza	outbreak
outbreak:1045	Yellow fever	outbreak
outbreak:1110	Botulism	outbreak
outbreak:690	Equine influenza	outbreak
outbreak:1052	Influenzavirus A	outbreak
outbreak:692	Influenza pandemic (H1N1)	outbreak
outbreak:1278	Anthrax	outbreak
outbreak:189	Ebola virus disease	outbreak
outbreak:1029	Ebola virus disease	outbreak
outbreak:849	Ebola virus disease	outbreak
outbreak:955	Ebola virus disease	outbreak
outbreak:845	Avian influenza	outbreak
outbreak:290	Potato spindle tuber viroid	outbreak
outbreak:164	Avian influenza, H7N9	outbreak
outbreak:414	Bovine Spongiform Encephalopathy (BSE), cattle	outbreak
outbreak:621	Ebola virus disease	outbreak
outbreak:1526	Avian influenza	outbreak
outbreak:367	Novel coronavirus	outbreak
outbreak:993	Avian influenza	outbreak
outbreak:516	Swine fever	outbreak
outbreak:1609	Ebola virus disease	outbreak
outbreak:312	Ebola virus disease	outbreak
outbreak:863	Ebola hemorrhagic fever	outbreak
outbreak:707	Diphtheria	outbreak
outbreak:1471	West Nile virus	outbreak
outbreak:351	E. coli EHEC	outbreak
outbreak:1217	Ebola virus disease	outbreak
outbreak:1528	Hemorrhagic fever with renal syndrome	outbreak
outbreak:75	Ebola virus disease	outbreak
outbreak:1503	Anthrax	outbreak
outbreak:987	Equine influenza	outbreak
outbreak:533	Leishmaniasis	outbreak
outbreak:642	Ebola virus disease	outbreak
outbreak:47	Creutzfeldt-Jakob Disease (CJD), cyclic tetrapyrroles	outbreak
outbreak:1524	Avian influenza	outbreak
outbreak:676	West Nile virus	outbreak
outbreak:1183	Leishmaniasis, visceral	outbreak
outbreak:261	Swine fever, classical	outbreak
outbreak:1271	Creutzfeldt-Jakob disease	outbreak
outbreak:561	Avian influenza	outbreak
outbreak:1163	Avian influenza	outbreak
outbreak:530	E. coli, Hemolytic uremic syndrome	outbreak
outbreak:527	Avian influenza	outbreak
outbreak:517	Leishmaniasis	outbreak
outbreak:742	Tularemia	outbreak
outbreak:232	Middle East Respiratory Syndrome Coronavirus (MERS-CoV)	outbreak
