text	geoid	count
United States	6252001	1424
Europe	6255148	1277
China	1814991	1110
Africa	6255146	950
Ebola	8010502	909
Asia	6255147	679
Australia	2077456	675
India	1269750	653
Canada	6251999	552
County	6467053	485
Brazil	3469034	448
Hong Kong	1819730	425
France	3017382	398
California	5332921	373
Nigeria	2328926	372
US	6252001	367
Germany	2921044	365
Japan	1861060	365
USA	6252001	364
DRC	203312	352
UK	2635167	334
U.S.	6252001	314
North America	6255149	313
Pakistan	1168579	308
Netherlands	2750405	302
Russia	2017370	301
Guinea	2420477	299
Thailand	1605651	291
Britain	2648147	284
South Africa	953987	281
Uganda	226074	280
Indonesia	1643084	273
Liberia	2275384	269
Israel	294640	267
Mexico	3996063	257
England	6269131	246
West Africa	7729885	242
Italy	3175395	239
New Zealand	2186224	228
Texas	4736286	226
Egypt	357994	221
Florida	4155751	206
Taiwan	7280291	199
Congo	203312	193
New York	5128638	192
Spain	2510769	192
Middle East	6269133	189
Turkey	298795	185
United Kingdom	2635167	181
West Nile	940310	179
Kenya	192950	179
Hospital	11239253	165
South America	6255150	165
Saudi Arabia	102358	162
Afghanistan	1149361	162
Malaysia	1733045	159
Sierra Leone	2403846	154
Belgium	2802361	148
Colorado	5417618	146
Iran	130758	146
Angola	3351879	145
Karachi	12104832	143
Republic	4277976	140
Ontario	6093943	139
Yemen	69543	138
Beijing	2038349	133
Singapore	1880251	133
Denmark	2623032	132
South Korea	1835841	132
Somalia	51537	132
Iraq	99237	128
Scotland	2638360	126
Ukraine	8053946	124
Haiti	3504558	124
Sweden	2661886	124
Syria	163843	123
Americas	10861432	119
Bangladesh	1210997	119
Caribbean	7729891	118
Argentina	3865483	117
Minnesota	5037779	116
Chile	3895114	116
Sudan	366755	116
Victoria	2145234	115
Wales	2634895	114
Beni	3923172	113
Wuhan	1791247	112
Georgia	4197000	112
Cambodia	1831722	111
New Mexico	5481136	109
States	12353	108
Philippines	1694008	107
Romania	798549	107
Wisconsin	5279468	107
Southeast Asia	6942000	106
Switzerland	2658434	106
Ohio	5165418	105
Arizona	5551752	105
North Kivu	206938	100
Riyadh	108411	100
Washington	5815135	99
Ethiopia	337996	99
Ireland	2646052	97
Vietnam	1562822	97
London	2643743	97
New	162199	97
Michigan	5001836	96
Pennsylvania	6254927	94
Norway	3144096	94
Greece	390903	93
West	2222934	92
City	11351628	92
North	2223603	92
Venezuela	3625428	91
Colombia	3686110	90
Zimbabwe	878675	89
Viet Nam	1562822	88
South	2395504	87
New York City	5128581	87
COVID-19	138901	86
Alberta	5883102	86
Central America	7729892	85
Finland	660013	84
Democratic Republic	203312	84
Cameroon	2233387	84
Tanzania	149590	83
South Sudan	7909807	80
Utah	5549030	80
Latin America	1655842	80
America	6252001	79
Madagascar	12036340	75
New Jersey	5101760	74
Maine	4971068	73
Chad	2434508	73
Hawaii	5855797	73
Virginia	6254928	73
Dominican Republic	3508796	72
Island	2629691	72
Bali	1650535	72
Iowa	4862182	72
New South Wales	2155400	72
Nepal	1282988	71
Indiana	4921868	71
Nam	6301204	71
Paraguay	3437598	70
Ghana	2300660	70
Kinshasa	2314302	68
Tennessee	4662168	67
Montana	5667009	67
Myanmar	1327865	67
Goma	216281	67
_	3177426	66
Oregon	5744337	66
Illinois	4896861	65
Peru	3932488	65
Wyoming	5843591	65
Region	4305800	65
Bulgaria	732800	65
Shanghai	1796231	65
South East Asia	6942000	63
North Carolina	4482348	63
Louisiana	4331987	63
Zambia	895949	62
Portugal	2264397	62
Missouri	4398678	61
Queensland	2152274	61
Hungary	719819	61
Kansas	4273857	60
North Dakota	5690763	60
Costa Rica	3624060	58
Massachusetts	6254926	58
Province	3718298	57
Sindh	1164807	57
Austria	2782113	56
Alaska	5879092	55
Ecuador	3658394	55
Leone	5881347	55
North Korea	1873107	55
Cuba	3562993	54
Korea	1835841	54
Morocco	2542007	54
Connecticut	4831725	52
Delhi	1273293	51
Tamiflu	174940	51
South Dakota	5769223	50
rabies	2210247	50
San Diego	5391832	50
Malawi	927384	50
Idaho	5596512	49
Central	400742	49
Mozambique	1036973	49
Eastern	400741	49
Poland	798544	49
Ituri	215709	49
Bolivia	3923057	48
South Australia	2061327	48
Punjab	1167710	48
Pacific	5806002	48
NSW	2155400	48
Luanda	2240444	48
Puerto Rico	4566966	48
Kampala	232422	48
Senegal	2245662	47
Maryland	4361885	47
Bihar	1275715	47
Northern Ireland	2641364	46
East Africa	7729889	46
Sydney	2147714	46
Maharashtra	1264418	46
Seoul	1835847	46
Guangdong	1809935	45
Bay	79838	45
Saskatchewan	6141242	45
Manitoba	6065171	45
