text	intervals	count
Europe	6255148	713
United States	6252001	688
China	1814991	496
Africa	6255146	421
Ebola	8010502	407
Asia	6255147	329
India	1269750	245
Australia	2077456	238
Canada	6251999	231
Nigeria	2328926	201
France	3017382	186
Brazil	3469034	184
North America	6255149	177
Germany	2921044	173
Hong Kong	1819730	171
USA	6252001	164
US	6252001	164
Indonesia	1643084	158
Thailand	1605651	155
Pakistan	1168579	154
UK	2635167	152
DRC	203312	151
Liberia	2275384	151
U.S.	6252001	149
Japan	1861060	147
Mexico	3996063	147
County	6467053	146
Netherlands	2750405	145
Guinea	2420477	141
Uganda	226074	138
Egypt	357994	138
Israel	294640	122
South Africa	953987	120
California	5332921	120
Russia	2017370	119
Britain	2648147	115
Texas	4736286	114
England	6269131	111
South America	6255150	108
Italy	3175395	102
Karachi	12104832	101
United Kingdom	2635167	98
Caribbean	7729891	97
New Zealand	2186224	95
Turkey	298795	94
Afghanistan	1149361	93
Ukraine	8053946	88
Saudi Arabia	102358	87
Spain	2510769	85
Republic	4277976	84
West Africa	7729885	83
Middle East	6269133	77
New York	5128638	74
Sierra Leone	2403846	74
West Nile	940310	72
Kenya	192950	71
Singapore	1880251	71
Cambodia	1831722	69
South East Asia	6942000	69
Florida	4155751	68
Democratic Republic	203312	68
Malaysia	1733045	67
Central America	7729892	67
Angola	3351879	66
Argentina	3865483	65
Americas	10861432	65
Romania	798549	65
Somalia	51537	63
Iran	130758	63
Chad	2434508	62
Belgium	2802361	62
Taiwan	7280291	62
East Asia	214138	62
Philippines	1694008	61
London	2643743	59
Cameroon	2233387	59
Syria	163843	59
Chile	3895114	57
Southeast Asia	6942000	57
Sudan	366755	56
Viet Nam	1562822	56
Bangladesh	1210997	55
Georgia	4197000	53
Beni	3923172	53
Myanmar	1327865	52
Ireland	2646052	51
Western Asia	7729897	51
Yemen	69543	51
Scotland	2638360	51
Southern Asia	6269134	50
South Korea	1835841	49
States	12353	49
Sweden	2661886	49
Norway	3144096	49
Wuhan	1791247	48
Finland	660013	48
Goma	216281	48
Paraguay	3437598	47
Congo	203312	47
North	2223603	46
Vietnam	1562822	46
West	2222934	45
Iraq	99237	45
Denmark	2623032	45
Ethiopia	337996	44
Zimbabwe	878675	43
Wales	2634895	43
Beijing	2038349	42
Republic of Niger	2440476	41
North Kivu	206938	41
Colombia	3686110	41
New York City	5128581	40
Leone	5881347	40
Ohio	5165418	40
Hospital	11239253	39
Colorado	5417618	39
Greece	390903	39
Michigan	5001836	39
Minnesota	5037779	38
Central Asia	7729893	37
Venezuela	3625428	37
Morocco	2542007	37
04:00	7585309	37
New	162199	37
Ontario	6093943	37
Maryland	4361885	36
Switzerland	2658434	36
Washington	5815135	36
Balochistan	1183606	36
New Jersey	5101760	34
Alberta	5883102	34
Northern Africa	7729887	34
Hungary	719819	34
Victoria	2145234	34
Tunisia	2464461	34
Zambia	895949	33
Nam	6301204	33
South	2395504	32
Indiana	4921868	32
Austria	2782113	32
Bulgaria	732800	32
Madagascar	12036340	32
Haiti	3504558	32
_	3177426	31
Tanzania	149590	31
Baghdad	98179	31
Mozambique	1036973	30
Peru	3932488	30
Cuba	3562993	30
Equateur	216661	29
Kampala	232422	29
Tamiflu	174940	29
Pennsylvania	6254927	28
Province	3718298	28
Ecuador	3658394	28
New Mexico	5481136	28
Region	4305800	27
Louisiana	4331987	27
Ghana	2300660	27
North Dakota	5690763	27
Island	2629691	27
Arizona	5551752	26
Central	400742	26
South Sudan	7909807	26
COVID-19	138901	26
Ituri	215709	26
Portugal	2264397	26
Missouri	4398678	26
Poland	798544	25
Pacific	5806002	25
America	6252001	25
New South Wales	2155400	25
Punjab	1167710	24
Geneva	2660645	24
South Dakota	5769223	24
rabies	2210247	24
Costa Rica	3624060	24
Kansas	4273857	24
Eastern	400741	24
Wisconsin	5279468	24
Democratic Republic of the	203312	23
Virginia	6254928	23
New York State	5128638	23
North Korea	1873107	23
Kinshasa	2314302	23
Moscow	524894	23
Illinois	4896861	22
Hanoi	1581129	22
temperate South America	6338426	22
Panama	3703430	22
Wyoming	5843591	22
Tokyo	1850144	22
East Africa	7729889	22
Skopje	785842	22
Bali	1650535	22
Nebraska	5073708	22
Guangdong	1809935	22
USA Florida	11171459	22
Alaska	5879092	21
City	11351628	21
Malawi	927384	21
Rwanda	49518	21
Senegal	2245662	21
Manitoba	6065171	21
Algeria	2589581	21
Queensland	2152274	21
Kyrgyzstan	1527747	21
Sindh	1164807	21
Puerto Rico	4566966	20
Luanda	2240444	20
Namibia	3355338	20
Nicaragua	3617476	20
Shanghai	1796231	20
Uige	2236566	20
Democratic Republic of the Congo	203312	20
Toronto	6167865	20
Central Africa	7729886	20
Botswana	933860	20
Jakarta	1642907	19
Gabon	2400553	19
Oregon	5744337	19
Northern Ireland	2641364	19
Saskatchewan	6141242	19
Mongolia	2029969	19
Tennessee	4662168	19
Kingdom	4393653	19
Boston	4930956	19
coughing	1814906	18
Montana	5667009	18
Freetown	2409306	18
Kazakhstan	1522867	17
North Africa	7729887	17
Niger	2328925	17
Sri Lanka	1227604	17
Atlanta	4180439	17
Valley	6556281	17
Great Britain	2648147	17
Uruguay	3439705	16
Lebanon	272103	16
Nepal	1282988	16
Maine	4971068	16
Armenia	174982	16
West Nile Virus	7193366	16
Connecticut	4831725	16
Oceania	6255151	16
Latin America	1655842	16
camels	7903226	16
Jeddah	105343	16
Uttar Pradesh	1253626	16
Guangzhou	1841808	16
Idaho	5596512	16
Honduras	3608932	16
Iowa	4862182	16
Hawaii	5855797	16
Guatemala	3595528	16
semen	7532099	16
Slovenia	3190538	16
FMD	2167426	15
Delhi	1273293	15
mid-October	9392199	15
El Salvador	3585968	15
Bolivia	3923057	15
Dominican Republic	3508796	15
Sydney	2147714	15
Papua New Guinea	2088628	15
Sichuan	1794299	15
Eastern Europe	7729884	15
Croatia	3202326	15
Jordan	248816	15
Serbia	6290252	15
South Australia	2061327	15
Lithuania	597427	15
Tajikistan	1220409	14
WA	5815135	14
Cote d'Ivoire	2287781	14
River	6427812	14
Burundi	433561	14
NSW	2155400	14
GBS	2913915	14
Great Lakes	9256165	14
Pakistan/Afghanistan	1168579	14
Zone	6543191	14
Republic of Congo	203312	14
Cyprus	146670	14
Republic of Korea	1835841	14
Measles	6429225	14
Banadir	9179621	14
Dakar	2253350	14
NYC	5128581	13
Utah	5549030	13
Bay	79838	13
Bihar	1275715	13
Maharashtra	1264418	13
Massachusetts	6254926	13
Gulu	233346	13
Jamaica	3489941	13
Korea	1835841	13
2015	6852983	13
Brussels	2800866	13
Siberia	11961345	13
Shenzhen	1795563	13
African	9166781	13
Quebec	6115047	13
Londonderry	2643735	13
Arabian Peninsula	6957697	13
Khyber Pakhtunkhwa	1168873	13
_Aedes_ mosquitoes	2722444	13
Berlin	2950157	13
Mashonaland East	886842	13
Amhara	444180	13
Islamabad	1162015	12
Kabul	1138957	12
Arkansas	4099753	12
Park	5834587	12
Fraser Valley	5957659	12
coronavirus	11657191	12
Southern Africa	9406051	12
Seoul	1835847	12
Laos	1655842	12
Kerala	1267254	12
Republic of the Congo	2260494	12
Northern Territory	2064513	12
Oman	286963	12
Bavaria	2951839	12
cVDPV2	6300708	12
Sao Paulo	3448433	12
Brooklyn	5110302	12
the	7646155	12
Middle Africa	4814614	12
Abidjan	11153151	12
Alabama	4829764	12
Disneyland	5343229	12
Belarus	630336	11
Oklahoma	4544379	11
Delaware	4142224	11
Peshawar	1168194	11
Samoa	4034894	11
rodents	2846069	11
MERS-CoV	1012632	11
Reunion	6690283	11
Katwa	1267457	11
San Diego	5391832	11
Riyadh	108411	11
Burkina Faso	2361809	11
South West	6930714	11
Maniema	209610	11
Benin	2395170	11
Columbia	3686110	11
Republic of	3839123	11
Nevada	5509151	11
Hubei	1806949	11
Czech	3077311	11
New Delhi	1273294	11
Glasgow	2648579	10
Maryland County	2275099	10
West Bank	285153	10
Gaza Strip	281132	10
Monrovia	2274895	10
Lao	1655842	10
Manila	1701668	10
Salvador	3585968	10
specimens	2148857	10
Pradesh	2306849	10
Polynesia	7729901	10
Cairo	360631	10
East	7289708	10
West Virginia	4826850	10
Democratic Republic of Congo	203312	10
Mississippi	4436296	10
Bangkok	1609348	10
Conakry	2422464	10
diagnosis	6542589	10
St. Louis	4407084	10
Western Europe	9408659	10
Belize	3582676	10
Midwest	11887750	10
S.	11875157	10
Western Africa	7729885	10
Edmonton	11807182	10
Fiji	2205218	10
Butembo	217562	9
New Yorkers	6471711	9
Mali	2453866	9
Kentucky	6254925	9
_E.	2076914	9
Czech Republic	3077311	9
Northern	2297169	9
Azerbaijan	587116	9
Basra	89341	9
Vermont	5242283	9
Queens	5133268	9
South Island	2182504	9
Dhaka	1337179	9
Guangdong Province	1809935	9
Winnipeg	6183235	9
Virus	9147165	9
Maldives	1282028	9
Nova Scotia	6091530	9
Southern California	11071615	9
Federation	12047284	9
Rio Grande	4567823	9
SARS-CoV-2	6542231	9
Lake	4898998	9
Qinghai	1280239	9
Hyderabad	1269843	9
Burma	1327865	9
Staten Island	5139559	9
Jerusalem	293198	9
Tasmania	2147291	9
Karnataka	1267701	9
Long Beach	5367929	9
Kitgum	230893	9
Seychelles	241170	9
Buenos Aires	3435907	9
Lower Mainland	7281922	9
Niamey	2595294	9
globulin	10285766	9
South Carolina	4597040	9
District	11803714	8
Beach	5554419	8
Prague	3067696	8
Timor	1623843	8
Lake County	4898998	8
elk	5188486	8
Pune	8133375	8
North West	1085598	8
Hoima	233312	8
Long	6454763	8
Rio de Janeiro	3451189	8
Human-to-human	11718906	8
Melbourne	2158177	8
Mass	6538063	8
Harare	1105844	8
Paris	2968815	8
Chelyabinsk	1508290	8
Calgary	5913490	8
Ankara	323784	8
Auckland	2193734	8
ticks	5974606	8
Pergamino	3841488	8
West Auckland	7293146	8
feces	2517747	8
ferrets	6455229	8
Suffolk	2636561	8
U.K.	2635167	8
Cairns	7839567	8
Estonia	453733	8
eastern Asia	7729894	8
Nangarhar	1132366	8
Latvia	458258	8
